"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ASM STAGE 
"
"Long Term",,,,
141,"SVPGLOB","SVP GLOBAL TEXTILES LIMITED","INE308E01029","LTASM - I (13)"
142,"SWSOLAR","Sterling and Wilson Renewable Energy Limited","INE00M201021","LTASM - I (13)"
143,"TATAINVEST","Tata Investment Corporation Limited","INE672A01018","LTASM - I (13)"
144,"TECHLABS","Trident Techlabs Limited","INE0QD201012","LTASM - I (13)"
145,"TECHNOE","Techno Electric & Engineering Company Limited","INE285K01026","LTASM - IV (16)"
146,"TEJASNET","Tejas Networks Limited","INE010J01012","LTASM - I (13)"
147,"TIMESGTY","Times Guaranty Limited","INE289C01025","LTASM - I (13)"
148,"TPLPLASTEH","TPL Plastech Limited","INE413G01022","LTASM - I (13)"
149,"TREEHOUSE","Tree House Education & Accessories Limited","INE040M01013","LTASM - I (13)"
150,"TRIL","Transformers And Rectifiers (India) Limited","INE763I01026","LTASM - IV (16)"
151,"TVSHLTD","TVS Holdings Limited","INE105A01035","LTASM - I (13)"
152,"UMANGDAIRY","Umang Dairies Limited","INE864B01027","LTASM - I (13)"
153,"UNIINFO","Uniinfo Telecom Services Limited","INE481Z01011","LTASM - I (13)"
154,"V2RETAIL","V2 Retail Limited","INE945H01013","LTASM - IV (16)"
155,"VARDMNPOLY","Vardhman Polytex Limited","INE835A01029","LTASM - I (13)"
156,"VASA","Vasa Retail and Overseas Ltd","INE068Z01016","LTASM - I (13)"
157,"VERTOZ","Vertoz Advertising Limited","INE188Y01023","LTASM - IV (16)"
158,"VITAL","Vital Chemtech Limited","INE0L4K01016","LTASM - I (13)"
159,"WANBURY","Wanbury Limited","INE107F01022","LTASM - I (13)"
160,"WEALTH","Wealth First Portfolio Managers Limited","INE658T01017","LTASM - I (13)"
161,"WINDMACHIN","Windsor Machines Limited","INE052A01021","LTASM - I (13)"
162,"WOCKPHARMA","Wockhardt Limited","INE049B01025","LTASM - I (13)"
163,"YUKEN","Yuken India Limited","INE384C01016","LTASM - II (14)"
"Short Term",,,,
1,"ABSMARINE","ABS Marine Services Limited","INE0QRV01016","STASM - I (11)"
2,"ACSAL","Arvind and Company Shipping Agencies Limited","INE0P4T01013","STASM - I (11)"
3,"ADSL","Allied Digital Services Limited","INE102I01027","STASM - I (11)"
4,"AIMTRON","Aimtron Electronics Limited","INE0RUV01018","STASM - I (11)"
5,"AKANKSHA","Akanksha Power and Infrastructure Limited","INE0PCY01014","STASM - I (11)"
6,"AMEYA","Ameya Precision Engineers Limited","INE0KT901015","STASM - II (12)"
7,"AMNPLST","Amines & Plasticizers Limited","INE275D01022","STASM - I (11)"
8,"ARISTO","Aristo Bio-Tech And Lifescience Limited","INE082101010","STASM - I (11)"
9,"ARTEMISMED","Artemis Medicare Services Limited","INE025R01021","STASM - I (11)"
