"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
104,"10-JUL-2024","RETAIL","JHS SVENDGAARD RETAIL VENTURES LIMITED","5","20"
105,"10-JUL-2024","LPDC","LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED","10","5"
106,"10-JUL-2024","KAUSHALYA","KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED","10","5"
107,"10-JUL-2024","IL&FSTRANS","IL&FS TRANSPORTATION NETWORKS LIMITED","5","2"
108,"10-JUL-2024","IL&FSENGG","IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED","5","2"
109,"10-JUL-2024","ICDSLTD","ICDS LIMITED","5","2"
110,"10-JUL-2024","GLFL","GUJARAT LEASE FINANCING LIMITED","5","2"
111,"10-JUL-2024","GENCON","GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED","20","10"
112,"10-JUL-2024","FALCONTECH","FALCON TECHNOPROJECTS INDIA LIMITED","5","20"
113,"10-JUL-2024","DURLAX","DURLAX TOP SURFACE LIMITED","5","20"
114,"10-JUL-2024","DHRUV","DHRUV CONSULTANCY SERVICES LIMITED","5","2"
115,"10-JUL-2024","BRNL","BHARAT ROAD NETWORK LIMITED","5","2"
116,"10-JUL-2024","BGRENERGY","BGR ENERGY SYSTEMS LIMITED","5","2"
117,"10-JUL-2024","BANKA","BANKA BIOLOO LIMITED","5","2"
118,"10-JUL-2024","ASTRON","ASTRON PAPER & BOARD MILL LIMITED","5","2"
119,"10-JUL-2024","AFIL","AKME FINTRADE (INDIA) LIMITED","5","20"
120,"09-JUL-2024","SUVEN","SUVEN LIFE SCIENCES LIMITED","10","5"
121,"09-JUL-2024","SURAJEST","SURAJ ESTATE DEVELOPERS LIMITED","20","10"
122,"09-JUL-2024","SMARTLINK","SMARTLINK HOLDINGS LIMITED","5","2"
123,"09-JUL-2024","RKEC","RKEC PROJECTS LIMITED","10","5"
124,"09-JUL-2024","NAMAN","NAMAN IN-STORE (INDIA) LIMITED","20","10"
